message,language,urgency,category
"కార్యాలయంలో మౌఖికంగా వేధింపులకు గురవుతున్నాను",Telugu,Medium,Workplace Harassment
"భర్త మద్యపానానికి అన్ని డబ్బులు ఖర్చు చేస్తాడు",Telugu,Medium,Financial Abuse
"సహోద్యోగి లైంగిక జోకులు చెబుతూ ఉంటాడు",Telugu,Medium,Workplace Harassment
"ఒంటరిగా నడిచేటప్పుడు పురుషులు వ్యాఖ్యలు చేస్తున్నారు",Telugu,Low,Street Harassment
"రాత్రి ఒంటరిగా ప్రయాణించడం భయంగా ఉంది",Telugu,Low,Safety Concern
"మార్కెట్‌కు వెళ్ళేటప్పుడు మగవారు విజిల్ వేస్తారు",Telugu,Low,Street Harassment
"కళాశాలలో అబ్బాయిలు నా రూపం గురించి వ్యాఖ్యానిస్తారు",Telugu,Low,Street Harassment
"పబ్లిక్ ట్రాన్స్‌పోర్ట్‌లో అసౌకర్యంగా అనిపిస్తుంది",Telugu,Low,Safety Concern
"పబ్లిక్ ప్లేసెస్‌లో మగవారు అసభ్యంగా చూస్తారు",Telugu,Low,Street Harassment
"రాత్రి 8 గంటల తర్వాత ఒంటరిగా నడవడం భయంగా ఉంది",Telugu,Low,Safety Concern
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
Strangers send me explicit images online,English,Medium,Cyber Harassment
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
I was raped last night by a stranger,English,Critical,Sexual Assault
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
Strangers send me explicit images online,English,Medium,Cyber Harassment
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
Strangers send me explicit images online,English,Medium,Cyber Harassment
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
Strangers send me explicit images online,English,Medium,Cyber Harassment
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
Someone is following me home from work every day,English,High,Stalking
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
Someone is following me home from work every day,English,High,Stalking
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
Strangers send me explicit images online,English,Medium,Cyber Harassment
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
Someone is following me home from work every day,English,High,Stalking
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
I was raped last night by a stranger,English,Critical,Sexual Assault
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
I need legal advice for divorce,English,Low,Legal Support
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
Someone is following me home from work every day,English,High,Stalking
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
I was raped last night by a stranger,English,Critical,Sexual Assault
I was raped last night by a stranger,English,Critical,Sexual Assault
Strangers send me explicit images online,English,Medium,Cyber Harassment
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
I was raped last night by a stranger,English,Critical,Sexual Assault
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
My ex is threatening to share my private messages,English,High,Cyber Crime
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
Someone is following me home from work every day,English,High,Stalking
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
I need legal advice for divorce,English,Low,Legal Support
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
Someone is following me home from work every day,English,High,Stalking
I was raped last night by a stranger,English,Critical,Sexual Assault
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
I need legal advice for divorce,English,Low,Legal Support
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
I was raped last night by a stranger,English,Critical,Sexual Assault
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
I need legal advice for divorce,English,Low,Legal Support
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
My ex is threatening to share my private messages,English,High,Cyber Crime
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
Someone is following me home from work every day,English,High,Stalking
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
I need legal advice for divorce,English,Low,Legal Support
Someone is following me home from work every day,English,High,Stalking
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
I need legal advice for divorce,English,Low,Legal Support
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
Someone is following me home from work every day,English,High,Stalking
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
My ex is threatening to share my private messages,English,High,Cyber Crime
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
Strangers send me explicit images online,English,Medium,Cyber Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
Strangers send me explicit images online,English,Medium,Cyber Harassment
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
My ex is threatening to share my private messages,English,High,Cyber Crime
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
Someone is following me home from work every day,English,High,Stalking
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
Strangers send me explicit images online,English,Medium,Cyber Harassment
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
Strangers send me explicit images online,English,Medium,Cyber Harassment
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
