message,language,urgency,category
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
My ex is threatening to share my private messages,English,High,Cyber Crime
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
I was raped last night by a stranger,English,Critical,Sexual Assault
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
Someone is following me home from work every day,English,High,Stalking
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
I need legal advice for divorce,English,Low,Legal Support
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
Strangers send me explicit images online,English,Medium,Cyber Harassment
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
I was raped last night by a stranger,English,Critical,Sexual Assault
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
I need legal advice for divorce,English,Low,Legal Support
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
Someone is following me home from work every day,English,High,Stalking
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
Someone is following me home from work every day,English,High,Stalking
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
I need legal advice for divorce,English,Low,Legal Support
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
My ex is threatening to share my private messages,English,High,Cyber Crime
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
I was raped last night by a stranger,English,Critical,Sexual Assault
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
Strangers send me explicit images online,English,Medium,Cyber Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
Someone is following me home from work every day,English,High,Stalking
Strangers send me explicit images online,English,Medium,Cyber Harassment
யாரோ ஒருவர் என்னை தொடர்ந்து பின் தொடர்கிறார்,Tamil,High,Stalking
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
Strangers send me explicit images online,English,Medium,Cyber Harassment
Strangers send me explicit images online,English,Medium,Cyber Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
I was raped last night by a stranger,English,Critical,Sexual Assault
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
Strangers send me explicit images online,English,Medium,Cyber Harassment
I need legal advice for divorce,English,Low,Legal Support
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
I was raped last night by a stranger,English,Critical,Sexual Assault
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
என் சக பணியாளர் பாலியல் நகைச்சுவைகளை சொல்கிறார்,Tamil,Medium,Workplace Harassment
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
Someone is following me home from work every day,English,High,Stalking
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
Someone is following me home from work every day,English,High,Stalking
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
I was raped last night by a stranger,English,Critical,Sexual Assault
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
Someone is following me home from work every day,English,High,Stalking
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
Colleagues make suggestive gestures at me,English,Medium,Workplace Harassment
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
என் கணவன் குடிப்பழக்கத்திற்காக அனைத்து பணத்தையும் செலவிடுகிறான்,Tamil,Medium,Financial Abuse
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
Someone is following me home from work every day,English,High,Stalking
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
I was raped last night by a stranger,English,Critical,Sexual Assault
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
My ex is threatening to share my private messages,English,High,Cyber Crime
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
Someone is following me home from work every day,English,High,Stalking
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
मेरा एक्स बॉयफ्रेंड मेरी तस्वीरें वायरल करने की धमकी दे रहा है,Hindi,Critical,Cyber Crime
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
Strangers send me explicit images online,English,Medium,Cyber Harassment
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
Strangers send me explicit images online,English,Medium,Cyber Harassment
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
I need legal advice for divorce,English,Low,Legal Support
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
My in-laws are torturing me for more dowry,English,Critical,Dowry Harassment
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
मेरे घरवाले मेरी ज़बरदस्ती शादी करा रहे हैं,Hindi,Critical,Forced Marriage
என் விருப்பம் இல்லாமல் எனக்கு திருமணம் செய்து வைக்க பார்க்கிறார்கள்,Tamil,Critical,Forced Marriage
Someone is following me home from work every day,English,High,Stalking
வேலையிடத்தில் வாய் வார்த்தையால் துன்புறுத்தப்படுகிறேன்,Tamil,Medium,Workplace Harassment
I am being blackmailed by my ex-partner with my photos,English,Critical,Cyber Crime
"My husband is beating me every day, I need help immediately",English,Critical,Domestic Violence
என் மாமனார் மற்றும் மாமியார் வரதட்சணை கேட்டு கொடுமைப்படுத்துகிறார்கள்,Tamil,Critical,Dowry Harassment
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
मुझे एक कमरे में बंद कर दिया गया है,Hindi,Critical,Illegal Confinement
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
என் கணவன் என் பெற்றோரிடம் பேச அனுமதிக்கவில்லை,Tamil,Medium,Domestic Abuse
मुझे ऑफिस में बॉस द्वारा परेशान किया जा रहा है,Hindi,Medium,Workplace Harassment
मेरे ससुराल वाले दहेज के लिए मुझे जला मारने की धमकी दे रहे हैं,Hindi,Critical,Dowry Harassment
எனக்கு விவாகரத்து பெற சட்டம் உதவி தேவை,Tamil,Low,Legal Support
"मैं तलाक लेना चाहती हूं, कानूनी सलाह चाहिए",Hindi,Low,Legal Support
I was raped last night by a stranger,English,Critical,Sexual Assault
He took all my bank cards and won't let me buy food,English,High,Financial Abuse
I am locked inside my room and cannot escape,English,Critical,Illegal Confinement
என்னை ஒரு அறையில் அடைத்து வைத்துள்ளார்கள்,Tamil,Critical,Illegal Confinement
நான் தினமும் என் கணவனால் அடிக்கப்படுகிறேன்,Tamil,Critical,Domestic Violence
"पति ने मुझे घर से निकाल दिया है, मेरे पास पैसे नहीं हैं",Hindi,High,Financial Abuse
"मेरे पति मुझे रोज़ मारते हैं, मुझे तुरंत मदद चाहिए",Hindi,Critical,Domestic Violence
My boss keeps making inappropriate comments,English,Medium,Workplace Harassment
நேற்று இரவு ஒருவரால் நான் பாலியல் பலாத்காரம் செய்யப்பட்டேன்,Tamil,Critical,Sexual Assault
मुझे मानसिक रूप से प्रताड़ित किया जा रहा है,Hindi,Medium,Domestic Abuse
My family is forcing me to marry someone twice my age,English,Critical,Forced Marriage
रास्ते में कुछ लड़के रोज़ मेरा पीछा करते हैं,Hindi,High,Stalking
